time,camera,event,severity,persons,image,description
20260319_102543,2,loitering,warning,3,output/captures/cam2_20260319_102543.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102543,5,loitering,warning,2,output/captures/cam5_20260319_102543.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102543,2,loitering,warning,3,output/captures/cam2_20260319_102543.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102543,5,loitering,warning,2,output/captures/cam5_20260319_102543.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102543,2,loitering,warning,3,output/captures/cam2_20260319_102543.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102543,5,loitering,warning,2,output/captures/cam5_20260319_102543.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102543,2,loitering,warning,3,output/captures/cam2_20260319_102543.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102543,5,loitering,warning,2,output/captures/cam5_20260319_102543.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102543,2,loitering,warning,3,output/captures/cam2_20260319_102543.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102543,5,loitering,warning,2,output/captures/cam5_20260319_102543.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,2,loitering,warning,3,output/captures/cam2_20260319_102544.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,5,loitering,warning,2,output/captures/cam5_20260319_102544.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,2,loitering,warning,3,output/captures/cam2_20260319_102544.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,5,loitering,warning,2,output/captures/cam5_20260319_102544.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,2,loitering,warning,3,output/captures/cam2_20260319_102544.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,5,loitering,warning,3,output/captures/cam5_20260319_102544.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,2,loitering,warning,3,output/captures/cam2_20260319_102544.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,5,loitering,warning,3,output/captures/cam5_20260319_102544.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,2,loitering,warning,3,output/captures/cam2_20260319_102544.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,5,loitering,warning,2,output/captures/cam5_20260319_102544.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,2,loitering,warning,3,output/captures/cam2_20260319_102544.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,5,loitering,warning,2,output/captures/cam5_20260319_102544.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,2,loitering,warning,3,output/captures/cam2_20260319_102544.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,5,loitering,warning,2,output/captures/cam5_20260319_102544.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,2,loitering,warning,3,output/captures/cam2_20260319_102544.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102544,5,loitering,warning,2,output/captures/cam5_20260319_102544.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,2,loitering,warning,3,output/captures/cam2_20260319_102545.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,5,loitering,warning,2,output/captures/cam5_20260319_102545.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,2,loitering,warning,3,output/captures/cam2_20260319_102545.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,5,loitering,warning,2,output/captures/cam5_20260319_102545.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,2,loitering,warning,3,output/captures/cam2_20260319_102545.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,5,crowd,critical,4,output/captures/cam5_20260319_102545.jpg,다수 인원(4명)이 밀집하여 안전 사고 위험이 높은 상황입니다.
20260319_102545,2,loitering,warning,3,output/captures/cam2_20260319_102545.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,5,loitering,warning,2,output/captures/cam5_20260319_102545.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,2,loitering,warning,3,output/captures/cam2_20260319_102545.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,5,loitering,warning,2,output/captures/cam5_20260319_102545.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,2,loitering,warning,3,output/captures/cam2_20260319_102545.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,5,loitering,warning,2,output/captures/cam5_20260319_102545.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,2,loitering,warning,3,output/captures/cam2_20260319_102545.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,5,loitering,warning,2,output/captures/cam5_20260319_102545.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,2,loitering,warning,3,output/captures/cam2_20260319_102545.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,5,loitering,warning,2,output/captures/cam5_20260319_102545.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102545,2,loitering,warning,3,output/captures/cam2_20260319_102545.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,5,loitering,warning,2,output/captures/cam5_20260319_102546.jpg,2명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
20260319_102546,2,loitering,warning,3,output/captures/cam2_20260319_102546.jpg,3명이 특정 구역에 머무르며 비정상적인 배회 행동이 감지되었습니다.
